player,monster,level,variant,出場回数,A(アクティブ),P(コンパニオン),urls
ユウア,ダークヤング (2),31,原種,4,ガッシマ / スタンピード / チャージ / ハードブロウ,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=7&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=8&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=11&se=3&t=1
ユウア,エアリエル,46,原種,4,セメタリーゲート / テンペスト / ヒーリング / ファイアランス / フェアリーエイド,敏捷ブースト / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=7&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=9&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=10&se=3&t=1
ユウア,ルサルカ,45,亜種2,2,ウィンターブラスト / スリープクラウド / フラッド,ハートオブフレイム / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=2&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=7&se=3&t=1
ユウア,ドール (1),29,原種,4,アースクェイク / チャージ / ハードブロウ,エンジェリックウィング / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=4&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=3&t=1
ユウア,ドール (2),28,原種,4,アースクェイク / チャージ / ハードブロウ,エンジェリックウィング / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=4&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=3&t=1
ユウア,アークディスプレイサー,51,原種,6,アンブッシュ / ソリッドファントム / ホロウワールド / 光のベール / 光の楔,エンジェリックウィング / クィックオーダー / ハートオブオーシャン,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=4&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=8&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=11&se=3&t=1
ユウア,オールドワン,42,原種,6,ヒーリング / ミラーズ / ユロール / 悪魔のトリル,エンジェリックウィング / ハートオブフレイム / ミラージュ / リジェネレイト / 守りのミンネ / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=3&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=4&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=6&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=8&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=11&se=3&t=1
ユウア,フラーユ (1),20,原種,1,アイスランス / ペイルムーン,コールドアシスト / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=9&se=3&t=1
ユウア,フラーユ (2),12,原種,1,アイスランス / ペイルムーン,コールドアシスト / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=9&se=3&t=1
ユウア,サキュバス,36,原種,2,アウェイクニング / セメタリーゲート / ヒーリング / ファイアランス / 悪魔のトリル,クィックオーダー / ハートオブフレイム / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=9&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=10&se=3&t=1
