player,monster,level,variant,出場回数,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
savekimo,ペリ,23,原種,3,パイロクラズム / ヒーリング / ムーランルージュ,HPブースト / クィックオーダー / レジストスリープ / レジストチャーム,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=68&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=70&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=6&t=1,,,,,,,,
savekimo,覚醒,17,原種,4,ベノムスティング / 光の刻印,レジストシック / レジストスリープ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=73&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=74&se=6&t=1,,,,,,,
savekimo,ドール,28,原種,3,アースクェイク / チャージ,フレイムアシスト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=73&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=6&t=1,,,,,,,,
savekimo,覚醒光べ,26,原種,5,アイスボール / 光のベール,レジストスリープ / レジストチャーム / レジストペトリ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=71&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=72&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=73&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=74&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=6&t=1,,,,,,
やなぎかぜ,ワイバーン,37,亜種1,11,スパイクテイル / ダブルアタック / デルタスラッシュ / ベノムスティング,防寒布 / 防火布,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=1&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=41&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=42&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=6&t=1
やなぎかぜ,ドール,30,亜種2,11,アースクェイク / テラーコール / バインドグラスプ / ファストストライク / ベノムスティング,守りのミンネ / 攻撃ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=1&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=41&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=42&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=6&t=1
やなぎかぜ,F.S.M.,27,原種,11,ウィンドボルト / エルフショット / コールドボルト / ハスタリーザ,守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=1&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=41&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=42&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=6&t=1
やなぎかぜ,グレムリン,37,原種,11,ウィンドボルト / エルフショット / ストーン / ダークボルト / 風葬,守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=1&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=34&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=35&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=36&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=38&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=39&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=40&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=41&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=42&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=6&t=1
シアン,ダークヤング,27,原種,11,くすぐり / エイミング / ガッシマ / チャージ / 超低周波,守りのミンネ / 攻撃ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=6&t=1
シアン,ワイバーン,28,亜種1,11,イートアライブ / チャージ / ベノムスティング,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=6&t=1
シアン,フラーユ,21,原種,11,コールドボルト / ヒーリング / 春の雨,敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=6&t=1
シアン,スノウ,30,亜種2,11,スノウストーム / ファイアボール / 氷の花,敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=6&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=6&t=1
